,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
388,Ezekiel Elliott,RB,DAL,1.0,TAM,1,1,Thu,11,33,3.0,0,2,2,6,3.0,0,100.00%,3.0,5.9,0,0,0,0,0,0,0,29,31
389,Najee Harris,RB,PIT,1.0,BUF,1,1,Sun,16,45,2.81,0,3,1,4,4.0,0,33.30%,1.33,5.9,0,0,0,0,0,0,1,23,16
390,Jeremy McNichols,RB,TEN,1.0,SEA,2,2,Sun,1,3,3.0,0,3,3,26,8.67,0,100.00%,8.67,5.9,0,0,0,0,0,0,1,33,30
391,Zack Moss,RB,BUF,1.0,TEN,6,6,Mon,8,24,3.0,0,4,2,15,7.5,0,50.00%,3.75,5.9,0,0,0,0,0,1,0,31,34
392,Darrel Williams,RB,KAN,0.0,LAC,3,3,Sun,7,28,4.0,0,3,2,11,5.5,0,66.70%,3.67,5.9,0,0,0,0,0,0,0,24,30
393,J.D. McKissic,RB,WAS,1.0,BUF,3,3,Sun,3,23,7.67,0,2,2,15,7.5,0,100.00%,7.5,5.8,0,0,0,0,0,0,0,21,43
394,Darrel Williams,RB,KAN,1.0,BAL,2,2,Sun,3,-2,-0.67,1,0,0,0,0.0,0,0.00%,0.0,5.8,0,0,0,0,0,0,0,35,36
395,Mark Ingram,RB,HOU,1.0,ARI,7,7,Sun,6,9,1.5,0,3,3,18,6.0,0,100.00%,6.0,5.7,0,0,0,0,0,0,0,5,31
396,Samaje Perine,RB,CIN,0.0,CLE,9,9,Sun,5,20,4.0,0,3,2,17,8.5,0,66.70%,5.67,5.7,0,0,0,0,0,0,0,16,41
397,Jamaal Williams,RB,DET,1.0,LAR,7,7,Sun,12,57,4.75,0,0,0,0,0.0,0,0.00%,0.0,5.7,0,0,0,0,0,0,0,19,28
398,Jeremy McNichols,RB,TEN,1.0,JAX,5,5,Sun,1,9,9.0,0,2,2,26,13.0,0,100.00%,13.0,5.5,0,0,0,0,0,0,1,37,19
399,Jalen Richard,RB,LVR,0.0,PHI,7,7,Sun,4,8,2.0,0,4,3,17,5.67,0,75.00%,4.25,5.5,0,0,0,0,0,0,1,33,22
400,Alex Collins,RB,SEA,0.0,NOR,7,7,Mon,16,35,2.19,0,1,1,9,9.0,0,100.00%,9.0,5.4,0,0,0,0,0,0,0,10,13
401,Chase Edmonds,RB,ARI,0.0,SFO,5,5,Sun,6,15,2.5,0,4,3,19,6.33,0,75.00%,4.75,5.4,0,0,0,0,0,1,1,17,10
402,Antonio Gibson,RB,WAS,0.0,KAN,6,6,Sun,10,44,4.4,0,3,2,0,0.0,0,66.70%,0.0,5.4,0,0,0,0,0,1,0,13,31
403,Ty'Son Williams,RB,BAL,0.0,CIN,7,7,Sun,2,10,5.0,0,2,2,24,12.0,0,100.00%,12.0,5.4,0,0,0,0,0,0,0,17,41
404,James Conner,RB,ARI,1.0,TEN,1,1,Sun,16,53,3.31,0,0,0,0,0.0,0,0.00%,0.0,5.3,0,0,0,0,0,0,1,38,13
405,Jamycal Hasty,RB,SFO,1.0,CHI,7,8,Sun,3,4,1.33,0,2,2,29,14.5,0,100.00%,14.5,5.3,0,0,0,0,0,0,1,33,22
406,Justin Jackson,RB,LAC,0.0,LVR,4,4,Mon,3,-4,-1.33,0,4,4,17,4.25,0,100.00%,4.25,5.3,0,0,0,0,0,0,1,28,14
407,Aaron Jones,RB,GNB,1.0,KAN,9,9,Sun,12,53,4.42,0,2,0,0,0.0,0,0.00%,0.0,5.3,0,0,0,0,0,0,0,7,13
408,Ronald Jones II,RB,TAM,0.0,CHI,7,7,Sun,10,63,6.3,0,0,0,0,0.0,0,0.00%,0.0,5.3,0,0,0,0,0,1,1,38,3
409,Tony Pollard,RB,DAL,0.0,DEN,8,9,Sun,4,11,2.75,0,2,1,32,32.0,0,50.00%,16.0,5.3,0,0,0,0,0,0,0,16,30
410,Brandon Bolden,RB,NWE,0.0,NOR,3,3,Sun,3,-1,-0.33,0,4,3,23,7.67,0,75.00%,5.75,5.2,0,0,0,0,0,0,0,13,28
411,Tevin Coleman,RB,NYJ,0.0,TEN,4,4,Sun,4,14,3.5,0,2,2,17,8.5,0,100.00%,8.5,5.1,0,0,0,0,0,0,1,27,24
412,Javonte Williams,RB,DEN,1.0,NYG,1,1,Sun,14,45,3.21,0,1,1,-4,-4.0,0,100.00%,-4.0,5.1,0,0,0,0,0,0,1,27,13
413,Mark Ingram,RB,HOU,1.0,CLE,2,2,Sun,14,41,2.93,0,2,1,-1,-1.0,0,50.00%,-0.5,5.0,0,0,0,0,0,0,0,21,31
414,Ty Johnson,RB,NYJ,0.0,NWE,2,2,Sun,12,50,4.17,0,0,0,0,0.0,0,0.00%,0.0,5.0,0,0,0,0,0,0,0,6,25
415,Latavius Murray,RB,BAL,0.0,IND,5,5,Mon,6,17,2.83,0,3,2,13,6.5,0,66.70%,4.33,5.0,0,0,0,0,0,0,1,31,25
416,Michael Carter,RB,NYJ,1.0,DEN,3,3,Sun,9,24,2.67,0,3,2,5,2.5,0,66.70%,1.67,4.9,0,0,0,0,0,0,0,0,26
417,James Robinson,RB,JAX,1.0,SEA,7,8,Sun,4,22,5.5,0,2,1,17,17.0,0,50.00%,8.5,4.9,0,0,0,0,0,0,0,7,31
418,Salvon Ahmed,RB,MIA,1.0,NWE,1,1,Sun,3,4,1.33,0,3,2,24,12.0,0,66.70%,8.0,4.8,0,0,0,0,0,0,1,17,16
419,Salvon Ahmed,RB,MIA,1.0,JAX,6,6,Sun,7,22,3.14,0,2,1,15,15.0,0,50.00%,7.5,4.7,0,0,0,0,0,0,0,20,23
420,Elijhaa Penny,RB,NYG,0.0,LVR,9,9,Sun,5,35,7.0,0,2,2,-8,-4.0,0,100.00%,-4.0,4.7,0,0,0,0,0,0,1,23,16
421,AJ Dillon,RB,GNB,1.0,SFO,3,3,Sun,6,18,3.0,0,2,2,8,4.0,0,100.00%,4.0,4.6,0,0,0,0,0,0,1,30,28
422,Damien Harris,RB,NWE,0.0,TAM,4,4,Sun,4,-4,-1.0,0,2,2,30,15.0,0,100.00%,15.0,4.6,0,0,0,0,0,0,0,17,19
423,Jamycal Hasty,RB,SFO,0.0,IND,6,7,Sun,3,1,0.33,0,6,3,15,5.0,0,50.00%,2.5,4.6,0,0,0,0,0,0,0,18,30
424,Chuba Hubbard,RB,CAR,0.0,NWE,9,9,Sun,3,3,1.0,0,2,1,33,33.0,0,50.00%,16.5,4.6,0,0,0,0,0,0,0,6,24
425,Ronald Jones II,RB,TAM,0.0,ATL,2,2,Sun,6,27,4.5,0,3,1,9,9.0,0,33.30%,3.0,4.6,0,0,0,0,0,0,1,48,25
426,Ronald Jones II,RB,TAM,0.0,MIA,5,5,Sun,5,21,4.2,0,1,1,15,15.0,0,100.00%,15.0,4.6,0,0,0,0,0,0,1,45,17
427,Sony Michel,RB,LAR,1.0,IND,2,2,Sun,10,46,4.6,0,0,0,0,0.0,0,0.00%,0.0,4.6,0,0,0,0,0,0,1,27,24
428,Jaret Patterson,RB,WAS,1.0,DEN,8,8,Sun,11,46,4.18,0,1,0,0,0.0,0,0.00%,0.0,4.6,0,0,0,0,0,0,0,10,17
429,Alex Collins,RB,SEA,0.0,JAX,8,8,Sun,10,44,4.4,0,0,0,0,0.0,0,0.00%,0.0,4.4,0,0,0,0,0,0,1,31,7
430,Carlos Hyde,RB,JAX,0.0,ARI,3,3,Sun,8,44,5.5,0,0,0,0,0.0,0,0.00%,0.0,4.4,0,0,0,0,0,0,0,19,31
431,Zack Moss,RB,BUF,1.0,JAX,8,9,Sun,3,6,2.0,0,4,2,18,9.0,0,50.00%,4.5,4.4,0,0,0,0,0,0,0,6,9
432,Jamycal Hasty,RB,SFO,0.0,ARI,8,9,Sun,1,2,2.0,0,4,3,11,3.67,0,75.00%,2.75,4.3,0,0,0,0,0,0,0,17,31
433,Aaron Jones,RB,GNB,1.0,NOR,1,1,Sun,5,9,1.8,0,2,2,13,6.5,0,100.00%,6.5,4.2,0,0,0,0,0,0,0,3,38
434,Tony Jones,RB,NOR,1.0,NWE,3,3,Sun,2,12,6.0,0,2,2,10,5.0,0,100.00%,5.0,4.2,0,0,0,0,0,0,1,28,13
435,Sony Michel,RB,LAR,1.0,NYG,6,6,Sun,9,42,4.67,0,0,0,0,0.0,0,0.00%,0.0,4.2,0,0,0,0,0,0,1,38,11
436,Salvon Ahmed,RB,MIA,1.0,TAM,5,5,Sun,2,5,2.5,0,3,2,16,8.0,0,66.70%,5.33,4.1,0,0,0,0,0,0,0,17,45
437,Malcolm Brown,RB,MIA,1.0,JAX,6,6,Sun,5,24,4.8,0,1,1,7,7.0,0,100.00%,7.0,4.1,0,0,0,0,0,0,0,20,23
438,Chris Carson,RB,SEA,1.0,SFO,4,4,Sun,13,30,2.31,0,1,1,1,1.0,0,100.00%,1.0,4.1,0,0,0,0,0,0,1,28,21
439,Mark Ingram,RB,HOU,0.0,NWE,5,5,Sun,16,41,2.56,0,0,0,0,0.0,0,0.00%,0.0,4.1,0,0,0,0,0,0,0,22,25
440,Rhamondre Stevenson,RB,NWE,1.0,LAC,8,8,Sun,8,26,3.25,0,2,1,5,5.0,0,50.00%,2.5,4.1,0,0,0,0,0,0,1,27,24
441,Ty'Son Williams,RB,BAL,0.0,IND,5,5,Mon,4,6,1.5,0,2,2,15,7.5,0,100.00%,7.5,4.1,0,0,0,0,0,0,1,31,25
442,Alec Ingold,FB,LVR,0.0,PHI,7,7,Sun,1,1,1.0,0,1,1,29,29.0,0,100.00%,29.0,4.0,0,0,0,0,0,0,1,33,22
443,Scottie Phillips,RB,HOU,0.0,LAR,8,8,Sun,5,11,2.2,0,3,2,9,4.5,0,66.70%,3.0,4.0,0,0,0,0,0,0,0,22,38
444,Boston Scott,RB,PHI,0.0,LAC,9,9,Sun,10,40,4.0,0,0,0,0,0.0,0,0.00%,0.0,4.0,0,0,0,0,0,0,0,24,27
445,Ameer Abdullah,RB,MIN,1.0,CIN,1,1,Sun,1,4,4.0,0,2,2,15,7.5,0,100.00%,7.5,3.9,0,0,0,0,0,0,0,24,27
446,Justin Jackson,RB,LAC,0.0,DAL,2,2,Sun,4,21,5.25,0,1,1,8,8.0,0,100.00%,8.0,3.9,0,0,0,0,0,0,0,17,20
447,Ronald Jones II,RB,TAM,1.0,PHI,6,6,Thu,5,20,4.0,0,1,1,9,9.0,0,100.00%,9.0,3.9,0,0,0,0,0,0,1,28,22
448,Samaje Perine,RB,CIN,0.0,MIN,1,1,Sun,5,22,4.4,0,1,1,7,7.0,0,100.00%,7.0,3.9,0,0,0,0,0,0,1,27,24
449,Devin Singletary,RB,BUF,0.0,MIA,7,8,Sun,7,28,4.0,0,1,1,1,1.0,0,100.00%,1.0,3.9,0,0,0,0,0,0,1,26,11
450,Salvon Ahmed,RB,MIA,1.0,BUF,8,8,Sun,7,22,3.14,0,2,1,6,6.0,0,50.00%,3.0,3.8,0,0,0,0,0,0,0,11,26
451,Darrynton Evans,RB,TEN,0.0,KAN,7,7,Sun,2,7,3.5,0,2,2,11,5.5,0,100.00%,5.5,3.8,0,0,0,0,0,0,1,27,3
452,Alexander Mattison,RB,MIN,1.0,ARI,2,2,Sun,3,11,3.67,0,1,1,17,17.0,0,100.00%,17.0,3.8,0,0,0,0,0,0,0,33,34
453,Saquon Barkley,RB,NYG,0.0,DEN,1,1,Sun,10,26,2.6,0,3,1,1,1.0,0,33.30%,0.33,3.7,0,0,0,0,0,0,0,13,27
454,Malcolm Brown,RB,MIA,0.0,IND,4,4,Sun,8,23,2.88,0,1,1,4,4.0,0,100.00%,4.0,3.7,0,0,0,0,0,0,0,17,27
455,Kyle Juszczyk,FB,SFO,1.0,PHI,2,2,Sun,1,2,2.0,0,3,2,15,7.5,0,66.70%,5.0,3.7,0,0,0,0,0,0,1,17,11
456,Tony Pollard,RB,DAL,1.0,MIN,7,8,Sun,7,26,3.71,0,1,1,1,1.0,0,100.00%,1.0,3.7,0,0,0,0,0,0,1,20,16
457,Miles Sanders,RB,PHI,1.0,LVR,7,7,Sun,6,30,5.0,0,1,1,-3,-3.0,0,100.00%,-3.0,3.7,0,0,0,0,0,0,0,22,33
458,AJ Dillon,RB,GNB,1.0,NOR,1,1,Sun,4,19,4.75,0,2,1,7,7.0,0,50.00%,3.5,3.6,0,0,0,0,0,0,0,3,38
459,AJ Dillon,RB,GNB,0.0,DET,2,2,Mon,5,18,3.6,0,1,1,8,8.0,0,100.00%,8.0,3.6,0,0,0,0,0,0,1,35,17
460,Clyde Edwards-Helaire,RB,KAN,1.0,BAL,2,2,Sun,13,46,3.54,0,0,0,0,0.0,0,0.00%,0.0,3.6,0,0,0,0,0,1,0,35,36
461,Ty Johnson,RB,NYJ,1.0,CAR,1,1,Sun,4,15,3.75,0,3,1,11,11.0,0,33.30%,3.67,3.6,0,0,0,0,0,0,0,14,19
462,Devin Singletary,RB,BUF,0.0,WAS,3,3,Sun,11,26,2.36,0,2,1,0,0.0,0,50.00%,0.0,3.6,0,0,0,0,0,0,1,43,21
463,Royce Freeman,RB,CAR,1.0,HOU,3,3,Thu,5,17,3.4,0,1,1,8,8.0,0,100.00%,8.0,3.5,0,0,0,0,0,0,1,24,9
464,Jerick McKinnon,RB,KAN,0.0,BUF,5,5,Sun,1,2,2.0,0,2,2,13,6.5,0,100.00%,6.5,3.5,0,0,0,0,0,0,0,20,38
465,Clyde Edwards-Helaire,RB,KAN,0.0,BUF,5,5,Sun,7,13,1.86,0,2,1,11,11.0,0,50.00%,5.5,3.4,0,0,0,0,0,0,0,20,38
466,Kenneth Gainwell,RB,PHI,1.0,CAR,5,5,Sun,2,16,8.0,0,3,1,8,8.0,0,33.30%,2.67,3.4,0,0,0,0,0,0,1,21,18
467,Myles Gaskin,RB,MIA,1.0,JAX,6,6,Sun,5,9,1.8,0,6,2,5,2.5,0,33.30%,0.83,3.4,0,0,0,0,0,1,0,20,23
468,Salvon Ahmed,RB,MIA,0.0,IND,4,4,Sun,3,1,0.33,0,2,2,12,6.0,0,100.00%,6.0,3.3,0,0,0,0,0,0,0,17,27
469,C.J. Ham,FB,MIN,0.0,DAL,7,8,Sun,1,0,0.0,0,3,3,3,1.0,0,100.00%,1.0,3.3,0,0,0,0,0,0,0,16,20
470,Ty Johnson,RB,NYJ,1.0,DEN,3,3,Sun,3,17,5.67,0,5,1,6,6.0,0,20.00%,1.2,3.3,0,0,0,0,0,0,0,0,26
471,Ty Johnson,RB,NYJ,0.0,TEN,4,4,Sun,3,1,0.33,0,2,2,12,6.0,0,100.00%,6.0,3.3,0,0,0,0,0,1,1,27,24
472,Marlon Mack,RB,IND,1.0,MIA,4,4,Sun,10,22,2.2,0,2,1,1,1.0,0,50.00%,0.5,3.3,0,0,0,0,0,0,1,27,17
473,Devin Singletary,RB,BUF,1.0,KAN,5,5,Sun,6,25,4.17,0,2,1,-2,-2.0,0,50.00%,-1.0,3.3,0,0,0,0,0,0,1,38,20
474,Peyton Barber,RB,LVR,1.0,PIT,2,2,Sun,13,32,2.46,0,0,0,0,0.0,0,0.00%,0.0,3.2,0,0,0,0,0,0,1,26,17
475,Nyheim Hines,RB,IND,0.0,LAR,2,2,Sun,1,5,5.0,0,2,1,17,17.0,0,50.00%,8.5,3.2,0,0,0,0,0,0,0,24,27
476,Nyheim Hines,RB,IND,0.0,HOU,6,6,Sun,4,13,3.25,0,2,1,9,9.0,0,50.00%,4.5,3.2,0,0,0,0,0,0,1,31,3
477,Samaje Perine,RB,CIN,0.0,JAX,4,4,Thu,3,7,2.33,0,1,1,15,15.0,0,100.00%,15.0,3.2,0,0,0,0,0,0,1,24,21
478,Damien Harris,RB,NWE,0.0,NOR,3,3,Sun,6,14,2.33,0,2,2,-3,-1.5,0,100.00%,-1.5,3.1,0,0,0,0,0,0,0,13,28
479,Larry Rountree,RB,LAC,0.0,LVR,4,4,Mon,11,31,2.82,0,0,0,0,0.0,0,0.00%,0.0,3.1,0,0,0,0,0,0,1,28,14
480,Michael Carter,RB,NYJ,1.0,CAR,1,1,Sun,4,6,1.5,0,2,1,14,14.0,0,50.00%,7.0,3.0,0,0,0,0,0,0,0,14,19
481,C.J. Ham,FB,MIN,1.0,CAR,6,6,Sun,1,30,30.0,0,0,0,0,0.0,0,0.00%,0.0,3.0,0,0,0,0,0,0,1,34,28
482,Mark Ingram,RB,HOU,0.0,CAR,3,3,Thu,6,21,3.5,0,1,1,-1,-1.0,0,100.00%,-1.0,3.0,0,0,0,0,0,0,0,9,24
483,D'Onta Foreman,RB,TEN,1.0,LAR,9,9,Sun,5,29,5.8,0,0,0,0,0.0,0,0.00%,0.0,2.9,0,0,0,0,0,0,1,28,16
484,Devonta Freeman,RB,BAL,0.0,KAN,2,2,Sun,2,29,14.5,0,0,0,0,0.0,0,0.00%,0.0,2.9,0,0,0,0,0,0,1,36,35
485,Royce Freeman,RB,CAR,1.0,NYG,7,7,Sun,3,18,6.0,0,2,1,1,1.0,0,50.00%,0.5,2.9,0,0,0,0,0,0,0,3,25
486,Wayne Gallman,RB,ATL,0.0,WAS,4,4,Sun,6,29,4.83,0,1,0,0,0.0,0,0.00%,0.0,2.9,0,0,0,0,0,0,0,30,34
487,Derrick Gore,RB,KAN,0.0,GNB,9,9,Sun,3,13,4.33,0,1,1,6,6.0,0,100.00%,6.0,2.9,0,0,0,0,0,0,1,13,7
488,Ronald Jones II,RB,TAM,1.0,NOR,8,8,Sun,3,13,4.33,0,1,1,6,6.0,0,100.00%,6.0,2.9,0,0,0,0,0,0,0,27,36
489,Mike Davis,RB,ATL,1.0,NOR,8,9,Sun,9,13,1.44,0,2,1,5,5.0,0,50.00%,2.5,2.8,0,0,0,0,0,1,1,27,25
490,Travis Homer,RB,SEA,0.0,LAR,5,5,Thu,1,5,5.0,0,1,1,13,13.0,0,100.00%,13.0,2.8,0,0,0,0,0,0,0,17,26
491,Phillip Lindsay,RB,HOU,1.0,MIA,9,9,Sun,8,28,3.5,0,0,0,0,0.0,0,0.00%,0.0,2.8,0,0,0,0,0,0,0,9,17
492,Latavius Murray,RB,BAL,1.0,DET,3,3,Sun,7,28,4.0,0,0,0,0,0.0,0,0.00%,0.0,2.8,0,0,0,0,0,0,1,19,17
493,Dare Ogunbowale,RB,JAX,1.0,SEA,7,8,Sun,2,9,4.5,0,1,1,9,9.0,0,100.00%,9.0,2.8,0,0,0,0,0,0,0,7,31
494,Demetric Felton,RB,CLE,0.0,PIT,8,8,Sun,1,3,3.0,0,1,1,14,14.0,0,100.00%,14.0,2.7,0,0,0,0,0,0,0,10,15
495,Kenneth Gainwell,RB,PHI,1.0,DET,8,8,Sun,13,27,2.08,0,0,0,0,0.0,0,0.00%,0.0,2.7,0,0,0,0,0,0,1,44,6
496,Larry Rountree,RB,LAC,1.0,WAS,1,1,Sun,8,27,3.38,0,0,0,0,0.0,0,0.00%,0.0,2.7,0,0,0,0,0,0,1,20,16
497,Ke'Shawn Vaughn,RB,TAM,0.0,CHI,7,7,Sun,5,27,5.4,0,0,0,0,0.0,0,0.00%,0.0,2.7,0,0,0,0,0,0,1,38,3
498,Brandon Bolden,RB,NWE,1.0,LAC,8,8,Sun,4,26,6.5,0,0,0,0,0.0,0,0.00%,0.0,2.6,0,0,0,0,0,0,1,27,24
499,James Conner,RB,ARI,0.0,MIN,2,2,Sun,8,26,3.25,0,0,0,0,0.0,0,0.00%,0.0,2.6,0,0,0,0,0,0,1,34,33
500,Alex Collins,RB,SEA,0.0,TEN,2,2,Sun,1,25,25.0,0,0,0,0,0.0,0,0.00%,0.0,2.5,0,0,0,0,0,0,0,30,33
501,Royce Freeman,RB,CAR,1.0,ATL,8,8,Sun,6,25,4.17,0,1,0,0,0.0,0,0.00%,0.0,2.5,0,0,0,0,0,0,1,19,13
502,C.J. Ham,FB,MIN,0.0,DET,5,5,Sun,1,1,1.0,0,1,1,14,14.0,0,100.00%,14.0,2.5,0,0,0,0,0,0,1,19,17
503,Jerick McKinnon,RB,KAN,1.0,WAS,6,6,Sun,3,10,3.33,0,4,1,5,5.0,0,25.00%,1.25,2.5,0,0,0,0,0,0,1,31,13
504,J.J. Taylor,RB,NWE,0.0,NOR,3,3,Sun,1,2,2.0,0,2,2,3,1.5,0,100.00%,1.5,2.5,0,0,0,0,0,0,0,13,28
505,Ameer Abdullah,RB,MIN,0.0,SEA,3,3,Sun,5,24,4.8,0,0,0,0,0.0,0,0.00%,0.0,2.4,0,0,0,0,0,0,1,30,17
506,Tevin Coleman,RB,NYJ,1.0,CAR,1,1,Sun,9,24,2.67,0,0,0,0,0.0,0,0.00%,0.0,2.4,0,0,0,0,0,0,0,14,19
507,Tevin Coleman,RB,NYJ,0.0,NWE,2,2,Sun,5,24,4.8,0,0,0,0,0.0,0,0.00%,0.0,2.4,0,0,0,0,0,0,0,6,25
508,Mark Ingram,RB,HOU,1.0,BUF,4,4,Sun,6,24,4.0,0,0,0,0,0.0,0,0.00%,0.0,2.4,0,0,0,0,0,0,0,0,40
509,Elijhaa Penny,RB,NYG,0.0,CAR,7,7,Sun,9,24,2.67,0,0,0,0,0.0,0,0.00%,0.0,2.4,0,0,0,0,0,0,1,25,3
510,Damien Williams,RB,CHI,0.0,CIN,2,2,Sun,2,6,3.0,0,3,2,-2,-1.0,0,66.70%,-0.67,2.4,0,0,0,0,0,0,1,20,17
511,Devontae Booker,RB,NYG,0.0,DEN,1,1,Sun,4,7,1.75,0,1,1,6,6.0,0,100.00%,6.0,2.3,0,0,0,0,0,0,0,13,27
512,Rhamondre Stevenson,RB,NWE,1.0,HOU,5,5,Sun,11,23,2.09,0,0,0,0,0.0,0,0.00%,0.0,2.3,0,0,0,0,0,0,1,25,22
513,Devontae Booker,RB,NYG,1.0,NOR,4,4,Sun,1,6,6.0,0,1,1,6,6.0,0,100.00%,6.0,2.2,0,0,0,0,0,0,1,27,21
514,Nyheim Hines,RB,IND,1.0,SFO,7,7,Sun,8,14,1.75,0,3,1,-2,-2.0,0,33.30%,-0.67,2.2,0,0,0,0,0,0,1,30,18
515,Jaret Patterson,RB,WAS,1.0,ATL,4,4,Sun,2,1,0.5,0,1,1,11,11.0,0,100.00%,11.0,2.2,0,0,0,0,0,0,1,34,30
516,Ty'Son Williams,RB,BAL,1.0,DET,3,3,Sun,5,22,4.4,0,1,0,0,0.0,0,0.00%,0.0,2.2,0,0,0,0,0,0,1,19,17
517,Devontae Booker,RB,NYG,1.0,WAS,2,2,Thu,2,9,4.5,0,1,1,2,2.0,0,100.00%,2.0,2.1,0,0,0,0,0,0,0,29,30
518,Malcolm Brown,RB,MIA,0.0,BUF,2,2,Sun,5,21,4.2,0,0,0,0,0.0,0,0.00%,0.0,2.1,0,0,0,0,0,0,0,0,35
519,Nyheim Hines,RB,IND,1.0,MIA,4,4,Sun,2,6,3.0,0,2,2,5,2.5,0,100.00%,2.5,2.1,0,0,0,0,0,1,1,27,17
520,David Johnson,RB,HOU,1.0,IND,6,6,Sun,2,7,3.5,0,2,1,14,14.0,0,50.00%,7.0,2.1,0,0,0,0,0,1,0,3,31
521,Dwayne Washington,RB,NOR,0.0,NYG,4,4,Sun,1,5,5.0,0,1,1,6,6.0,0,100.00%,6.0,2.1,0,0,0,0,0,0,0,21,27
